site_name,domain,test_url,direct_stream,browser_capture,clip_window_playback,clip_download_test,host_stream_ready,download_fallback,notes
"PornHub Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayMaleTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"BoyFriendTv","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayForIt","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"XVideos Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"MegaPornFreeHD","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayCock4U","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"xHamster Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"RedTube Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"XNXX Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"YouPornGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"XTapes Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayPorno","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"IceGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"MyMuscleVideo","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"OnlyGayVideo","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"EverydayPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"YourPornGod","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"IceGayTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayMenRing","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"MachoTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Me-Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GoldGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Homo.xxx","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"BoyzTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"TheGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"ZZgays","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"FXGGXT","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Gay0Day","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Big-Big-Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"NeedGayPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"HotGayList","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayFuror","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"ManPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"SexTubeSpot","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"OnlyDudes","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"RocketTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayPornHDFree","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Porn.com","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Tube8 Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"TnaFlix Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"DrTuber Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"PornTube Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"PornOne Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"SpankBang Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"PornDig Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"ThisVid Gay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"ManSurfer","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"iGayPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Eporner","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayBubble","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayTheBest","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayPornLove","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"CockDude","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"XBoyVids","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayStream","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"XVidGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"MrGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayGuy","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayTeam","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
